,Line,Count,Description,Level,Degree,Plea,Disposition,Disposition Date,casenumber
30,1,2,CRIMINAL MISCHIEF GENERAL (80613 1b1),M,S,NOLO-CONTENDERE,ADJUDICATION WITHHELD,2006-03-07,05009584MMMA
31,0,1,"FAIL TO SUBMIT TO BLOOD, BREATH OR URINE BUI (327359 5)",I,N,,,,06000219TOMA
32,0,1,DISORDERLY CONDUCT (99999999999),L,N,,DROPPED/ABANDONED/NO INFORMATION FILED,2011-11-01,06001748MOMS
33,0,1,DISORDERLY CONDUCT (87703),M,S,NO PLEA ENTERED,MENTALLY/PHYSICALLY UNABLE TO STAND TRIAL,2017-04-20,06004304MMMA
34,1,2,OBSTRUCT OFFICER WITHOUT VIOLENCE (84302),M,F,NO PLEA ENTERED,MENTALLY/PHYSICALLY UNABLE TO STAND TRIAL,2017-04-20,06004304MMMA
35,0,1,RESIST OFFICER WITHOUT VIOLENCE (84302),M,F,,,,06005821MMMA
36,0,1,DRIVING WHILE LIC SUS/REV UNKNOWINGLY (32234 1),I,N,,,,06007243CTMA
37,0,1,DRIVER NOT WEARING A SEATBELT (316614 4b),,,NO PLEA ENTERED,PAY FINE,2007-07-02,07018625TR
38,0,1,SPEEDING IN A POSTED MUNICIPAL ZONE (316189 1),,,NO PLEA ENTERED,PAY FINE,2007-12-18,07027235TR
39,0,1,SPEARFISHING STATE PARK (3792412),M,S,,DROPPED/ABANDONED/NO INFORMATION FILED,2009-05-29,08007507MMMA
40,0,1,DOMESTIC VIOLENCE BATTERY (78403 1a1),M,F,,DROPPED/ABANDONED/NO INFORMATION FILED,2009-02-05,08007879MMMA
41,0,1,SPEEDING IN A POSTED MUNICIPAL ZONE (316189 1),,,NO PLEA ENTERED,PAY FINE,2008-06-02,08008275TR
42,0,1,SPEEDING IN A POSTED MUNICIPAL ZONE (316189 1),,,NO PLEA ENTERED,PAY FINE,2008-09-08,08014843TR
43,0,1,SPEEDING IN A POSTED MUNICIPAL ZONE (316189 1),,,NO PLEA ENTERED,FINE AND SCHOOL,2008-05-23,08014920TR
44,0,1,UNLAWFUL SPEED (SCHOOL ZONE) (3161895),,,NO PLEA ENTERED,ADJ W/H COURT-JUDGE,2008-10-31,08025260TR
45,0,1,DRIVING WHILE LIC SUS/REV UNKNOWINGLY (32234 1),I,N,,,,09004484CTMA
46,0,1,DRIVING WHILE LIC SUS/REV UNKNOWINGLY (32234 1),I,N,,,,09004684CTMA
47,0,1,PROOF OF INSURANCE REQUIRED (316646 1),,,,,,09008141TR
48,0,1,UNLAWFUL OPERATION OF SOUND MAKING DVICE (31630451),,,,,,09008152TR
49,0,1,FAIL TO CARRY & EXHIBIT DL (32215),,,,,,09008249TR
50,0,1,SPEEDING IN A POSTED ZONE (316189),,,NO PLEA ENTERED,NOT GUILTY,2009-06-09,09012637TR
51,0,1,UNLAWFUL SPEED (316183 2),,,NOLO-CONTENDERE,GUILTY,2009-08-14,09014416TR
52,0,1,NO CURRENT INSURANCE CARD (316646),,,NO PLEA ENTERED,DISMISSED,2009-06-11,09015854TR
53,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2010-03-09,10001046MMMA
54,1,2,RESIST OFFICER WITHOUT VIOLENCE (84302),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2010-03-09,10001046MMMA
55,0,1,RESIST OFFICER WITHOUT VIOLENCE (84302),M,F,,,,10001087MMMO
56,0,1,CONSUMPTION ON RIGHT OF WAY (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2010-06-02,10001094MOMS
57,0,1,NO VALID DRIVERS LICENSE (32203 1a),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2021-09-02,10001257CTMA
58,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2010-03-17,10001402MMMO
59,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2010-03-17,10001420MMMO
60,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2017-08-11,10001529MMMA
61,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2021-07-26,10002118MOMS
62,0,1,RESIST OFFICER WITHOUT VIOLENCE (84302),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2010-03-24,10002255MMMO
63,0,1,DISORDERLY CONDUCT (99999999999),L,N,,,,10004423MOMS
64,0,1,DRIVER NOT WEARING A SEATBELT (316614 4b),,,NO PLEA ENTERED,PAY FINE,2010-04-19,10009963TR
65,0,1,DRIVER IN POSSESSION OF OPEN CONTAINER (31619362),,,NOLO-CONTENDERE,ADJ W/H COURT-JUDGE,2010-08-20,10014616TR
66,0,1,CARELESS DRIVING (3161925),I,N,,,,10034604TR
67,0,1,EXPIRED BOAT REGISTRATION (32872 13),I,N,NO PLEA ENTERED,DISMISSED,2011-09-12,11000564TOMA
68,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-03-22,11001125MMMO
69,0,1,CONSUMPTION ON RIGHT OF WAY (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-03-22,11001126MOMS
70,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2019-04-24,11002479MMMA
71,0,1,DISORDERLY CONDUCT ON THE PREMISES OF AN ESTABLISHMENT; DETENTION; ARREST; IMMUNITY FROM LIABILITY (509143),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-07-04,11003048MMMA
72,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2020-02-12,11003067MOMS
73,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-05-27,11003104MMMA
74,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-07-11,11003384MMMA
75,0,1,SPEEDING IN A POSTED ZONE (316189),,,NOLO-CONTENDERE,PAY FINE,2011-07-15,11003714TR
76,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-06-08,11004034MOMS
77,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2019-06-04,11004360MMMA
78,0,1,RETAIL THEFT SHOPLIFTING (812014 3a),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2021-05-25,11004621MMMO
79,1,2,RESIST OFFICER WITHOUT VIOLENCE (84302),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2021-05-25,11004621MMMO
80,0,1,VIOLATION OF PROTECTION INJUNCTION (784047),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-11-28,11004789MMMA
81,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-06-15,11005172MMMO
82,1,2,GIVING FALSE INFORMATION TO L.E.O. (90136 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-06-15,11005172MMMO
83,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-06-17,11005432MOMS
84,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-06-20,11005444MMMO
85,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-06-15,11005536MMMO
86,0,1,RETAIL THEFT (812015 6),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-06-23,11005734MMMA
87,0,1,DISORDERLY CONDUCT (87703),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2011-07-05,11005923MMMO
88,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-12,12000890MMMO
89,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-05,12000933MMMA
90,0,1,TRESPASS PROPERTY OTHER THAN STRUCT OR CONV (81009 2a),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-06,12000959MMMA
91,0,1,CONSUMPTION ON RIGHT OF WAY (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-20,12001028MOMS
92,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-01-17,12001372MMMA
93,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-10,12001401MMMA
94,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-13,12001475MMMA
95,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-05,12001748MMMA
96,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-05,12001873MMMA
97,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-15,12001904MMMA
98,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-03,12001930MMMO
99,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-03,12002005MMMO
100,0,1,TRESPASS AFTER WARNING (81008 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-16,12002102MMMA
101,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-25,12002129MMMA
102,0,1,NO VALID DRIVERS LICENSE (32203 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-05-24,12002273CTMA
103,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-11,12002369MMMA
104,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-21,12002435MMMA
105,0,1,CONSUMPTION ON RIGHT OF WAY (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-20,12002489MOMS
106,0,1,POSS OF ALCOHOLIC BEVERAGE BY A PERSON UNDER 21 YRS OF AGE (562111),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-16,12002694MMMA
107,0,1,DRIVER'S LICENSE SUS/REV - KNOWINGLY (32234 2b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-07-09,12002891CTMA
108,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-13,12002991MMMA
109,0,1,CONSUMPTION ON RIGHT OF WAY (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-05,12003017MOMS
110,0,1,FALSE FIRE ALARM (806101),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-23,12003046MMMO
111,0,1,GIVING FALSE INFORMATION TO L.E.O. (90136 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-17,12003067MMMA
112,0,1,PETIT THEFT (812014 3a),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-26,12003177MMMA
113,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-13,12003218MMMA
114,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2020-03-16,12003463MMMA
115,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-26,12003521MMMA
116,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-16,12003569MMMA
117,0,1,POSS OF ALCOHOLIC BEVERAGE BY A PERSON UNDER 21 YRS OF AGE (562111),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-13,12003620MMMA
118,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-24,12003733MMMA
119,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-03,12003862MOMS
120,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-03,12003877MMMO
121,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-28,12003888MOMS
122,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-09,12003900MMMO
123,0,1,POSS OF ALCOHOLIC BEVERAGE BY A PERSON UNDER 21 YRS OF AGE (562111),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-10,12003906MMMA
124,0,1,POSS OF ALCOHOLIC BEVERAGE BY A PERSON UNDER 21 YRS OF AGE (562111),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-20,12003921MMMA
125,0,1,RESIST OFFICER WITHOUT VIOLENCE (84302),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-03-29,12003925MMMA
126,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-20,12004060MMMA
127,0,1,DRIVER'S LICENSE SUS/REV - KNOWINGLY (32234 2b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-10-09,12004072CTMA
128,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-04,12004096MOMS
129,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-13,12004113MOMS
130,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-05,12004197MMMO
131,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-05,12004203MMMA
132,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-11,12004256MOMS
133,0,1,RESIST OFFICER WITHOUT VIOLENCE (84302),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-11,12004257MMMO
134,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-10,12004299MMMA
135,0,1,TRESPASS IN STRUCTURE (81008 2a),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-10,12004303MMMA
136,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-18,12004323MMMA
137,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-25,12004346MMMA
138,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-20,12004681MMMA
139,0,1,OBSTRUCT OFFICER WITHOUT VIOLENCE (84302),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-05-09,12004795MMMA
140,0,1,TRESPASS PROPERTY OTHER THAN STRUCT OR CONV (81009 2a),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-30,12004822MMMO
141,1,2,DISORDERLY CONDUCT (87703),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-04-30,12004822MMMO
142,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-05-23,12005262MOMS
143,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-06-12,12005395MMMO
144,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-06-12,12005396MMMO
145,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2012-06-18,12005785MOMS
146,0,1,BATTERY (DOMESTIC VIOLENCE) (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2013-01-23,12008900MMMO
147,1,2,BATTERY (DOMESTIC VIOLENCE) (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2013-01-23,12008900MMMO
148,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2013-01-04,13000026MMMA
149,0,1,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2019-05-30,13000424MMMA
150,0,1,PERMITTING UNAUTH OPERATOR TO DRIVE (32236),M,S,,,,13002274CTMA
151,0,1,ALCOHOL BEV POSS BY MINOR (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-29,13002973MMMA
152,0,1,PASSING WORTHLESS CHECKS (83205 2),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2019-02-13,13004447MMMW
153,0,1,DR WHILE UNDER INFLUENCE (316193 1a),M,S,,,,13004937CTMA
154,0,1,ANIMALS CRUELTY TO (82812 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2019-02-20,13005125MMMA
155,1,2,ABANDON/CONFINE WO FOOD WATER EXERCISE (82813),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2019-02-20,13005125MMMA
156,0,1,PASSING WORTHLESS CHECKS (83205 2),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2016-07-20,13006384MMMW
157,1,2,PASSING WORTHLESS CHECKS (83205 2),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2016-07-20,13006384MMMW
158,2,3,PASSING WORTHLESS CHECKS (83205 2),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2016-07-20,13006384MMMW
159,3,4,PASSING WORTHLESS CHECKS (83205 2),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2016-07-20,13006384MMMW
160,4,5,PASSING WORTHLESS CHECKS (83205 2),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2016-07-20,13006384MMMW
161,5,6,PASSING WORTHLESS CHECKS (83205 2),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2016-07-20,13006384MMMW
162,6,7,PASSING WORTHLESS CHECKS (83205 2),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2016-07-20,13006384MMMW
163,0,1,PETIT THEFT (812014 3a),M,S,,,,13007732MMMO
164,0,1,DRIVER NOT WEARING A SEATBELT (316614 4b),,,NO PLEA ENTERED,PAY FINE,2013-10-14,13025546TR
165,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2014-03-05,14000886MMMA
166,0,1,NO DRIVERS LICENSE - NEVER ISSUED (32203 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2014-05-28,14000905CTMA
167,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2014-03-05,14000926MMMO
168,0,1,GIVING FALSE INFORMATION TO L.E.O. (90136 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2014-03-17,14001396MMMO
169,0,1,DRIVER'S LICENSE SUS/REV - KNOWINGLY (32234 2b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-11-06,14001429CTMA
170,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-03,14001454MMMO
171,0,1,NO DRIVERS LICENSE - NEVER ISSUED (32203 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2014-07-17,14001922CTMA
172,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2014-03-26,14002313MMMA
173,1,2,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2014-03-26,14002313MMMA
