,Line,Date,Event,Judge,Location,Result,casenumber
30,12,2002-04-22 13:00:00,ARRAIGNMENT,"OBRIEN, JOHN D",,Not Assigned,02001710CTMA
31,13,2002-04-22 13:00:00,ARRAIGNMENT,"OBRIEN, JOHN D",,Not Assigned,02001710CTMA
32,0,2005-09-30 09:30:00,CHILD SUPPORT,"ALBRITTON, RICHARD H JR",,Not Assigned,02002395DR
33,1,2005-07-01 14:30:00,CHILD SUPPORT,ROBERT SOMBATHY,,Not Assigned,02002395DR
34,2,2005-04-15 14:30:00,CHILD SUPPORT,"ALBRITTON, RICHARD H JR",,Not Assigned,02002395DR
35,3,2005-03-04 10:30:00,CHILD SUPPORT,"ALBRITTON, RICHARD H JR",,Not Assigned,02002395DR
36,0,2003-09-04 13:00:00,PRE TRIAL     1:00,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03004961MMMA
37,1,2003-04-16 08:30:00,ARRAIGNMENT,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03004961MMMA
38,0,2004-12-15 13:00:00,PROB REVOCATION HRNG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03005918MMMA
39,1,2004-12-01 13:00:00,PROB REVOCATION HRNG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03005918MMMA
40,2,2004-10-20 13:00:00,PROB REVOCATION HRNG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03005918MMMA
41,3,2004-08-25 13:00:00,PREL VOP HRG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03005918MMMA
42,4,2004-08-16 11:00:00,FIRST APPEARANCE,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,03005918MMMA
43,5,2003-09-24 08:30:00,ARRAIGNMENT,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03005918MMMA
44,6,2003-09-20 11:00:00,FIRST APPEARANCE,"HESS, GLENN L",COURTHOUSE 1ST FLOOR,Not Assigned,03005918MMMA
45,7,2003-06-20 08:30:00,ARRAIGNMENT,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,03005918MMMA
46,8,2003-05-30 08:30:00,ARRAIGNMENT,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03005918MMMA
47,0,2004-05-06 13:00:00,PRE TRIAL     1:00,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03006444MMMA
48,1,2003-05-23 08:30:00,ARRAIGNMENT,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03006444MMMA
49,2,2003-05-13 11:00:00,FIRST APPEARANCE,,COURTHOUSE 1ST FLOOR,Not Assigned,03006444MMMA
50,0,2004-12-15 13:00:00,PROB REVOCATION HRNG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03010199MMMO
51,1,2004-12-01 13:00:00,PROB REVOCATION HRNG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03010199MMMO
52,2,2004-10-20 13:00:00,PROB REVOCATION HRNG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03010199MMMO
53,3,2004-08-25 13:00:00,PREL VOP HRG,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,03010199MMMO
54,4,2004-08-16 11:00:00,FIRST APPEARANCE,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,03010199MMMO
55,5,2003-10-13 13:00:00,ARRAIGNMENT,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,03010199MMMO
56,0,2004-07-22 13:00:00,PRE TRIAL     1:00,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,03011614MMMA
57,1,2003-12-08 13:00:00,ARRAIGNMENT,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,03011614MMMA
58,2,2003-12-01 13:00:00,ARRAIGNMENT,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,03011614MMMA
59,0,2004-06-03 13:00:00,PRE TRIAL     1:00,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,03012048MMMA
60,1,2004-02-05 08:30:00,PRE TRIAL     8:30,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,03012048MMMA
61,2,2003-12-12 08:30:00,ARRAIGNMENT,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,03012048MMMA
62,3,2003-12-01 11:00:00,FIRST APPEARANCE,,COURTHOUSE 1ST FLOOR,Not Assigned,03012048MMMA
63,0,2004-04-07 09:00:00,CIVIL TRAFFIC,"WELCH, THOMAS F",,Not Assigned,03029479TR
64,0,2004-04-07 09:00:00,CIVIL TRAFFIC,"WELCH, THOMAS F",,Not Assigned,03029480TR
65,0,2004-04-07 09:00:00,CIVIL TRAFFIC,"WELCH, THOMAS F",,Not Assigned,03029483TR
66,0,2005-02-01 13:00:00,EVIDENTIARY HEARING,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,04000605MMMA
67,1,2004-12-27 08:30:00,CONTEMPT HEARING,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,04000605MMMA
68,2,2004-12-19 11:00:00,FIRST APPEARANCE,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,04000605MMMA
69,3,2004-09-23 08:30:00,PREL VOP HRG,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,04000605MMMA
70,4,2004-09-17 11:00:00,FIRST APPEARANCE,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,04000605MMMA
71,5,2004-01-23 08:30:00,ARRAIGNMENT,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,04000605MMMA
72,6,2004-01-22 11:00:00,FIRST APPEARANCE,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,04000605MMMA
73,0,2006-05-19 08:30:00,CHILD SUPPORT,CHILD SUPPORT JUDGE,,Not Assigned,04000734DR
74,0,2004-09-24 13:00:00,PRE TRIAL     1:00,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,04003408CTMA
75,1,2004-09-15 13:00:00,PRE TRIAL     1:00,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,04003408CTMA
76,2,2004-07-21 08:30:00,ARRAIGNMENT,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,04003408CTMA
77,3,2004-07-17 11:00:00,FIRST APPEARANCE,"WELCH, THOMAS F",COURTHOUSE 1ST FLOOR,Not Assigned,04003408CTMA
78,0,2005-04-27 11:00:00,FIRST APPEARANCE,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,04006948MMMA
79,1,2004-05-20 08:30:00,FIRST ARRAIGNMENT,"OVERSTREET, MICHAEL C","EAST COURTROOM, BAY COUNTY COURTHOUSE",Not Assigned,04006948MMMA
80,2,2004-04-22 11:00:00,FIRST APPEARANCE,"OVERSTREET, MICHAEL C",COURTHOUSE 1ST FLOOR,Not Assigned,04006948MMMA
81,0,2010-08-04 13:30:00,EVIDENTIARY HEARING,"VANN, SHANE",,Not Assigned,04009627MMMA
82,1,2010-06-09 13:30:00,VIOLATION PROBATION,"VANN, SHANE",,Continued,04009627MMMA
83,2,2010-04-30 14:00:00,FIRST APPEARANCE,"CAMPBELL, TIMOTHY CRAIG",,Not Assigned,04009627MMMA
84,3,2004-09-22 08:30:00,ARRAIGNMENT,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,04009627MMMA
85,4,2004-09-20 13:00:00,ARRAIGNMENT,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,04009627MMMA
86,5,2004-09-14 11:00:00,FIRST APPEARANCE,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,04009627MMMA
87,0,2003-10-22 11:00:00,FIRST APPEARANCE,,COURTHOUSE 1ST FLOOR,Not Assigned,04011848MMMA
88,0,2014-03-18 09:15:00,MOTION HEARING,"VANN, SHANE",,OTHER,05004640MMMA
89,1,2013-12-18 13:30:00,VIOLATION PROBATION,"VANN, SHANE",,Failed To Appear,05004640MMMA
90,2,2013-11-16 08:00:00,FIRST APPEARANCE,"CAMPBELL, TIMOTHY CRAIG",,Not Assigned,05004640MMMA
91,3,2005-05-26 08:30:00,FIRST ARRAIGNMENT,"SIRMONS, DON T","EAST COURTROOM, BAY COUNTY COURTHOUSE",Not Assigned,05004640MMMA
92,4,2005-04-27 11:00:00,FIRST APPEARANCE,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,05004640MMMA
93,0,2005-07-20 08:30:00,ARRAIGNMENT,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,05005804MMMA
94,1,2005-07-19 11:00:00,FIRST APPEARANCE,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,05005804MMMA
95,0,2006-06-20 08:30:00,HEARING - CIVIL,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,05009584MMMA
96,1,2006-03-07 13:00:00,PRE TRIAL     1:00,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,05009584MMMA
97,2,2005-12-30 08:30:00,ARRAIGNMENT,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,05009584MMMA
98,3,2005-12-19 14:00:00,FIRST APPEARANCE,,COURTHOUSE 1ST FLOOR,Not Assigned,05009584MMMA
99,0,2006-03-27 13:00:00,ARRAIGNMENT,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,06001748MOMS
100,0,2018-05-02 08:30:00,VIOLATION PROBATION,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Not Assigned,06004304MMMA
101,1,2017-10-31 13:30:00,MOTIONS,"GRAMMER, JOE","JUDGES CHAMBERS, 3RD FLOOR",Not Assigned,06004304MMMA
102,2,2017-04-20 08:30:00,PRETRIAL,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Sentenced,06004304MMMA
103,3,2017-04-19 13:30:00,EVIDENTIARY HEARING,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,OTHER,06004304MMMA
104,4,2017-03-23 08:30:00,VIOL PROBATION HRG,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Continued,06004304MMMA
105,5,2017-03-08 08:30:00,VIOL PROBATION HRG,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,DISPOSED D,06004304MMMA
106,6,2017-03-01 15:00:00,MOTIONS,"GRAMMER, JOE","JUDGES CHAMBERS, 3RD FLOOR",Not Assigned,06004304MMMA
107,7,2017-02-22 13:30:00,VIOL PROBATION HRG,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Continued,06004304MMMA
108,8,2017-02-01 13:30:00,EVIDENTIARY HEARING,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Continued,06004304MMMA
109,9,2016-12-21 14:00:00,FIRST APPEARANCE,"WELCH, THOMAS F",MINI COURTROOM 2ND FLOOR,Not Assigned,06004304MMMA
110,10,2016-12-21 13:30:00,VIOLATION PROBATION,"CAMPBELL, TIMOTHY CRAIG",,Continued,06004304MMMA
111,11,2009-01-26 08:30:00,JURY TRIAL,"WITTEN, FRED N",ANNEX 301 MCKENZIE AVE OLD,NOTASSIGNED,06004304MMMA
112,12,2008-12-17 09:30:00,HEARING - CIVIL,"WITTEN, FRED N",ANNEX 301 MCKENZIE AVE OLD,Not Assigned,06004304MMMA
113,13,2008-11-13 08:30:00,JURY TRIAL,"WITTEN, FRED N",JURY POOL ROOM  2ND FLOOR,Not Assigned,06004304MMMA
114,14,2008-11-06 13:30:00,MOTION HEARING,"WITTEN, FRED N",(Unknown Courtroom),Not Assigned,06004304MMMA
115,15,2008-11-06 13:30:00,MOTION HEARING,"WITTEN, FRED N","COURTHOUSE ANNEX, 301 MCKENZIE AVENUE",Not Assigned,06004304MMMA
116,16,2008-09-22 11:00:00,PRETRIAL,"WITTEN, FRED N",MINI COURTROOM 2ND FLOOR,Not Assigned,06004304MMMA
117,17,2008-09-02 13:00:00,PRETRIAL,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,NOTASSIGNED,06004304MMMA
118,18,2008-08-19 13:30:00,MOTION HEARING,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,NOTASSIGNED,06004304MMMA
119,19,2008-07-22 13:30:00,TRIAL MANAGEMENT,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Not Assigned,06004304MMMA
120,20,2008-07-08 08:30:00,PRETRIAL,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Continued,06004304MMMA
121,21,2008-05-14 13:30:00,MOTION HEARING,"HAUVERSBURK, MICHAEL J",,Not Assigned,06004304MMMA
122,22,2008-04-29 08:45:00,MOTION HEARING,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Not Assigned,06004304MMMA
123,23,2008-03-18 08:30:00,PRE TRIAL     1:00,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Not Assigned,06004304MMMA
124,24,2008-01-22 08:30:00,PRE TRIAL     1:00,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Not Assigned,06004304MMMA
125,25,2007-02-20 13:00:00,PRE TRIAL     1:00,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Not Assigned,06004304MMMA
126,26,2007-02-06 14:00:00,MOTION HEARING,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Not Assigned,06004304MMMA
127,27,2007-01-09 13:30:00,TRIAL MGMT PM,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Not Assigned,06004304MMMA
128,28,2006-12-26 08:30:00,PRE TRIAL     8:30,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Not Assigned,06004304MMMA
129,29,2006-09-05 13:00:00,PRE TRIAL     1:00,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Not Assigned,06004304MMMA
130,30,2006-08-22 13:00:00,PRE TRIAL     1:00,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,06004304MMMA
131,31,2006-06-16 08:30:00,ARRAIGNMENT,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,06004304MMMA
132,32,2006-06-15 14:00:00,FIRST APPEARANCE,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,06004304MMMA
133,0,2008-06-02 08:30:00,JURY TRIAL,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Failed To Appear,06005821MMMA
134,1,2008-05-22 13:30:00,TRIAL MGMT PM,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Continued,06005821MMMA
135,2,2008-03-27 13:30:00,TRIAL MGMT PM,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
136,3,2008-01-31 13:30:00,TRIAL MGMT PM,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
137,4,2007-12-06 13:30:00,TRIAL MGMT PM,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
138,5,2007-10-11 13:30:00,TRIAL MGMT PM,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
139,6,2007-08-27 08:30:00,JURY TRIAL,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
140,7,2007-07-02 08:30:00,JURY TRIAL,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
141,8,2007-06-21 13:30:00,TRIAL MGMT PM,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
142,9,2007-05-15 11:30:00,MOTION HEARING,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
143,10,2007-05-07 08:30:00,JURY TRIAL,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
144,11,2007-04-26 13:30:00,TRIAL MGMT PM,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
145,12,2007-03-01 13:30:00,TRIAL MGMT PM,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
146,13,2007-01-04 13:30:00,TRIAL MGMT PM,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
147,14,2006-11-09 13:30:00,TRIAL MGMT PM,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
148,15,2006-10-19 08:30:00,PRE TRIAL     8:30,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
149,16,2006-08-16 08:30:00,ARRAIGNMENT,"SMILEY, ELIJAH",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
150,17,2006-08-13 14:00:00,FIRST APPEARANCE,"HESS, GLENN L",COURTHOUSE 1ST FLOOR,Not Assigned,06005821MMMA
151,0,2007-02-22 08:30:00,PRE TRIAL     8:30,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Not Assigned,06007243CTMA
152,1,2006-12-20 08:30:00,ARRAIGNMENT,"HAUVERSBURK, MICHAEL J",COURTHOUSE 1ST FLOOR,Not Assigned,06007243CTMA
153,2,2006-12-18 14:00:00,FIRST APPEARANCE,"OBRIEN, JOHN D",COURTHOUSE 1ST FLOOR,Not Assigned,06007243CTMA
154,0,2017-07-25 11:00:00,FORECLOSURE SALES,FORECLOSURE CLERK,ONLINE,CERTIFICATE OF SALE,08003680CC
155,1,2017-04-20 11:00:00,FORECLOSURE SALES,FORECLOSURE CLERK,ONLINE,CERTIFICATE OF SALE,08003680CC
156,2,2017-03-07 15:30:00,HEARING - CIVIL,"CAMPBELL, TIMOTHY CRAIG","JUDGES CHAMBERS, 3RD FLOOR",Not Assigned,08003680CC
157,3,2011-04-27 09:00:00,DISPOSITION HEARING CIVIL,"CAMPBELL, TIMOTHY CRAIG","JUDGES CHAMBERS, BAY COUNTY COURTHOUSE 2ND FLOOR",Not Assigned,08003680CC
158,0,2009-06-08 11:00:00,FORECLOSURE SALES,"OVERSTREET, MICHAEL C",,CERTIFICATE OF SALE,08003988CA
159,0,2009-04-23 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Pre Trial,08007507MMMA
160,1,2009-02-05 08:30:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Continued,08007507MMMA
161,2,2008-12-01 13:00:00,ARRAIGNMENT,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Continued,08007507MMMA
162,0,2009-02-05 08:30:00,PRETRIAL,"VANN, SHANE",COURTHOUSE 1ST FLOOR,No Information filed by SAO,08007879MMMA
163,1,2008-12-03 08:30:00,ARRAIGNMENT,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Continued,08007879MMMA
164,2,2008-11-28 14:00:00,FIRST APPEARANCE,"VANN, SHANE",MINI COURTROOM 2ND FLOOR,Not Assigned,08007879MMMA
165,0,2008-09-08 13:30:00,DOMESTIC VIOLENCE HEARING,"CLARK, BRANTLEY SCOTT JR",,Not Assigned,08010282DV
166,0,2008-12-08 13:30:00,DOMESTIC VIOLENCE HEARING,"CLARK, BRANTLEY SCOTT JR",,Not Assigned,08010349DV
167,0,2008-10-31 13:30:00,CIVIL TRAFFIC,"PELL, ROBERT A",,Not Assigned,08025260TR
168,0,2010-02-18 08:03:00,PRE TRIAL     8:30,"GRAMMER, JOE",,TRANSFER TO CIVIL,09004484CTMA
169,1,2009-11-19 08:30:00,PRETRIAL,"GRAMMER, JOE",COURTHOUSE 1ST FLOOR,Continued,09004484CTMA
170,2,2009-10-23 08:30:00,ARRAIGNMENT,"GRAMMER, JOE",COURTHOUSE 1ST FLOOR,Continued,09004484CTMA
171,0,2010-05-20 09:00:00,TRIAL MGMT AM,"VANN, SHANE",,TRANSFER TO CIVIL,09004684CTMA
172,1,2010-03-25 09:00:00,TRIAL MGMT AM,"VANN, SHANE",,Continued,09004684CTMA
173,2,2010-01-28 09:00:00,TRIAL MGMT AM,"VANN, SHANE",,Continued,09004684CTMA
174,3,2010-01-07 13:00:00,PRE TRIAL     1:00,"VANN, SHANE",,Continued,09004684CTMA
175,4,2009-11-06 08:30:00,ARRAIGNMENT,"VANN, SHANE",COURTHOUSE 1ST FLOOR,Continued,09004684CTMA
176,5,2009-10-30 14:00:00,FIRST APPEARANCE,,COURTHOUSE 1ST FLOOR,Not Assigned,09004684CTMA
177,0,2009-06-09 14:00:00,CIVIL TRAF HEARING,"GAY, SHONNA YOUNG",,NOTASSIGNED,09012637TR
178,0,2009-08-14 09:00:00,CIVIL TRAF HEARING,"WELCH, THOMAS F","JUDGES CHAMBERS, BAY COUNTY COURTHOUSE 2ND FLOOR",NOTASSIGNED,09014416TR
179,0,2017-04-24 10:20:00,CHILD SUPPORT,"SPITZER, GRANT ASHLEY",JUVENILE JUSTICE EAST COURTROOM,Not Assigned,10000431DR
180,1,2016-10-19 16:10:00,CHILD SUPPORT,"SPITZER, GRANT ASHLEY",ANNEX CRIMINAL COURTROOM A,Not Assigned,10000431DR
181,0,2014-11-20 10:15:00,ORDER TO SHOW CAUSE,"SMILEY, ELIJAH",JUDGES CHAMBERS,Not Assigned,10000843CP
182,1,2013-06-26 10:15:00,ORDER TO SHOW CAUSE,"SMILEY, ELIJAH",JUDGES CHAMBERS,Not Assigned,10000843CP
183,2,2012-01-25 10:00:00,ORDER TO SHOW CAUSE,"SMILEY, ELIJAH",JUDGES CHAMBERS,Not Assigned,10000843CP
184,0,2010-06-16 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Not Assigned,10001046MMMA
185,1,2010-03-10 08:30:00,ARRAIGNMENT,"GRAMMER, JOE",,PLED PRIOR TO COURT,10001046MMMA
186,2,2010-03-07 14:00:00,FIRST APPEARANCE,"CAMPBELL, TIMOTHY CRAIG",,Not Assigned,10001046MMMA
187,0,2010-06-14 13:00:00,ARRAIGNMENT,"VANN, SHANE",,Failed To Appear,10001087MMMO
188,1,2010-03-12 08:30:00,ARRAIGNMENT,"GRAMMER, JOE",,Continued,10001087MMMO
189,2,2010-03-08 14:00:00,FIRST APPEARANCE,"CAMPBELL, TIMOTHY CRAIG",,Not Assigned,10001087MMMO
190,0,2010-06-16 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Not Assigned,10001094MOMS
191,1,2010-03-12 08:30:00,ARRAIGNMENT,"GRAMMER, JOE",,PLED PRIOR TO COURT,10001094MOMS
192,2,2010-03-10 14:00:00,FIRST APPEARANCE,"CAMPBELL, TIMOTHY CRAIG",,Not Assigned,10001094MOMS
193,0,2010-03-29 13:00:00,ARRAIGNMENT,"GRAMMER, JOE",,Not Assigned,10001257CTMA
194,0,2010-06-18 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Not Assigned,10001402MMMO
195,1,2010-03-17 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,10001402MMMO
